# dumpsys SurfaceFlinger --latency

layer: SurfaceView[dev.driftsys.dashscene.demo/dev.driftsys.dashscene.demo.DemoActivity](BLAST)#2767

First line is the refresh period in nanoseconds. Every line after it
is one frame: when the app started drawing it, when the buffer was
posted, and when it was presented — all in nanoseconds on the
device's own clock.

**Zero frame rows is the expected result on Android 15**, where this
interface was superseded by the timeline sources — measured on
2026-08-17 against all four of this process's layers. Read
sf-timestats.txt instead. This is kept for older releases, since the
API floor is 33.

16666666
107235480056826	107235538150530	107235519855997
107235503628183	107235571520533	107235550380375
107235537219697	107235605099130	107235580927774
107235570525742	107235638237675	107235611684079
107235603860328	107235655087365	107235642279186
107235636572675	107235688276118	107235673053460
107235663117834	107235721643882	107235703801953
107235687083722	107235754998052	107235734877164
107235720502736	107235788359774	107235765312636
107235753641541	107235821712225	107235795839514
107235787198315	107235838377539	107235826750559
107235820043214	107235871919365	107235857529989
107235846119467	107235905467702	107235888188429
107235879440408	107235938752080	107235919563537
107235904353066	107235971831719	107235949959217
107235937520622	107236005202139	107235980446459
107235971156667	107236022026203	107236011198233
107236003918701	107236055384800	107236042120320
107236029713339	107236088588554	107236072986937
107236063686832	107236121952307	107236103746211
107236087629908	107236155314602	107236134560694
107236120972723	107236188932522	107236165067363
107236154224185	107236222304036	107236195517366
107236188189032	107236238687787	107236226314869
107236220632056	107236272066332	107236257028727
107236246592736	107236305728836	107236287802167
107236271436905	107236339078631	107236318641233
107236304586127	107236372162540	107236349374517
107236337532276	107236405519731	107236379873791
107236370821446	107236422175253	107236410514940
107236404146241	107236455533278	107236441561766
107236430664525	107236488919323	107236472284894
107236464683435	107236522280003	107236503025418
107236488072239	107236555794225	107236534136827
107236521288597	107236589005583	107236564639018
107236554562558	107236605655532	107236595218604
107236587896103	107236639029285	107236626292149
107236614061314	107236672421320	107236657084183
107236646608349	107236705853459	107236688291738
107236671454445	107236739125754	107236718827054
107236704529657	107236772492997	107236749655963
107237715362570	107237806680339	107237784090650
107237731868665	107237856732532	107237838333207
107237809891850	107237890151858	107237869535971
107237855668678	107237923452174	107237900123890
107237889199462	107237956813688	107237930732643
107237921938945	107237973478689	107237960972073
107237955301760	107238006846661	107237991348274
107237982216711	107238040381977	107238021885465
107238005704838	107238073759845	107238052162968
107238039034165	107238106946515	107238082106669
107238072072137	107238123614746	107238112195005
107238105428807	107238156983916	107238142508862
107238131190059	107238190575794	107238172711261
107238164863552	107238223793141	107238202780691
107238189263659	107238257095593	107238233024340
107238222581422	107238273752261	107238262910801
107238255590176	107238307122629	107238293216534
107238281383512	107238340550601	107238323526224
107238315887005	107238374023052	107238353685863
107238339405340	107238407482482	107238383661074
107238372504094	107238440585819	107238414076494
107238405840607	107238457269310	107238443920715
107238439062121	107238490886449	107238474180822
107238465564311	107238523984577	107238504335721
107238489667074	107238557351456	107238534589214
107238522749265	107238590715053	107238564667342
107238556073018	107238607536617	107238594624324
107238589188907	107238640754537	107238625031306
107238615039639	107238674121103	107238655366309
107238639488079	107238707469648	107238685213396
107238672805894	107238740844443	107238715571524
107238706163658	107238757673819	107238745360120
107238739370588	107238791050021	107238775502102
107238765201008	107238824552837	107238805784137
107238789860385	107238857620704	107238836001588
107238822438149	107238891166333	107238866075653
107238856279663	107238907806439	107238896028833
107238889546853	107238941018213	107238926398107
107238915189721	107238974371654	107238956932121
107238950238162	107239007940407	107238986961394
107238973657591	107239041097494	107239016918481
107239006277855	107239057765412	107239047281713
107239039562858	107239091141978	107239077645726
107239065540308	107239124671460	107239107903021
107239099068697	107239158038651	107239138210003
107239123302345	107239191226831	107239168386256
107239156591151	107239224747564	107239198434072
107239190574748	107239241425066	107239229033033
107240197431619	107240292121629	107240266246730
107240217002663	107240342172779	107240321117100
107240296387879	107240375522574	107240352105228
107240342114863	107240408888359	107240383307002
107240375409606	107240425716173	107240414238620
107240407518515	107240459277687	107240444949092
107240434770237	107240492483315	107240475598522
107240467405709	107240525817433	107240506450348
107240491214565	107240559270666	107240536941393
107240525206756	107240592572336	107240567656760
107240558046343	107240609226035	107240598326086
107240591252388	107240642551768	107240629139631
107240616796661	107240675762656	107240659853488
107240650082081	107240709418701	107240690664272
107240674900365	107240742763132	107240721528807
107240708159014	107240775841312	107240751991674
107240741568653	107240792677512	107240782699073
107240774841364	107240826052411	107240813707722
107240800520481	107240859473143	107240844473507
107240833629755	107240892702991	107240875406270
107240858221268	107240926163358	107240906253877
107240891645022	107240959515653	107240936859037
107240925220650	107240992880605	107240967381644
107240958032424	107241009377533	107240997961543
107240991261438	107241042925349	107241029013525
107241018197274	107241076309988	107241059699518
107241051520715	107241109508064	107241090580406
107241074809988	107241143032859	107241121205357
107241108464262	107241176399685	107241151850100
107241141509630	107241192876718	107241182209686
107241174616456	107241226264534	107241213012345
107241201497032	107241259622715	107241243973755
107241235768962	107241293269541	107241274813029
107241258477662	107241326348919	107241305325584
107241291777822	107241359677672	107241336160066
107241324794336	107241376378091	107241366646579
107241356277776	107241409799969	107241397251478
107241384217258	107241443118254	107241427969815

