# dumpsys SurfaceFlinger --latency

layer: SurfaceView[dev.driftsys.dashscene.demo/dev.driftsys.dashscene.demo.DemoActivity](BLAST)#492

First line is the refresh period in nanoseconds. Every line after it
is one frame: when the app started drawing it, when the buffer was
posted, and when it was presented — all in nanoseconds on the
device's own clock.

**Zero frame rows is the expected result on Android 15**, where this
interface was superseded by the timeline sources — measured on
2026-08-17 against all four of this process's layers. Read
sf-timestats.txt instead. This is kept for older releases, since the
API floor is 33.

16666666
11495121491082	11495146938376	11495134001760
11495138256239	11495163663325	11495150564314
11495155777960	11495180297806	11495168008170
11495171670462	11495197177808	11495183931817
11495187774161	11495213649789	11495200540829
11495205238538	11495230325103	11495217443695
11495221595987	11495247182240	11495234035780
11495238277395	11495263686564	11495250570105
11495256282866	11495280398597	11495268297867
11495271374899	11495297076672	11495283584483
11495287915109	11495313717455	11495300468756
11495306701412	11495330435946	11495318388289
11495321499070	11495347076521	11495333732249
11495338439124	11495363753762	11495350778969
11495355513969	11495380431472	11495368113919
11495371573971	11495397150380	11495383881264
11495387883816	11495413831840	11495400174026
11495405266266	11495430468925	11495417516111
11495421568820	11495447336374	11495433825279
11495438112519	11495463818980	11495450424500
11495456180125	11495480500232	11495468087314
11495471724450	11495497172681	11495483956847
11495488431951	11495513853308	11495500772265
11495506702318	11495530521226	11495518602996
11495521531955	11495547199561	11495533699716
11495537705654	11495563883938	11495550021228
11495555674719	11495580595867	11495567759668
11495571894824	11495597295296	11495584106753
11495588130868	11495613932172	11495600915973
11495606124255	11495630601861	11495618024829
11495621627902	11495647315092	11495633835299
11495638502800	11495663945927	11495650713009
11495655772020	11495680632075	11495667854469
11495671699261	11495697315826	11495684251606
11495688260409	11495713992599	11495700799264
11495706406765	11495730657496	11495718354943
11495721726871	11495747528904	11495733922393
11495738690153	11495764003177	11495750907186
11495754789530	11495780694741	11495767057865
11495772074636	11495797378336	11495784231720
11495788434846	11495814046046	11495800961983
11495806496358	11495830723444	11495818436724
11495821816672	11495847607456	11495834358861
11495838567872	11495864078551	11495850872560
11495855113134	11495880762720	11495867713604
11495871724958	11495897441003	11495883971730
11495888618606	11495914113765	11495901341836
11495906953347	11495930836891	11495919039078
11495921681578	11495947653976	11495934018610
11495938368403	11495964186113	11495950631425
11495956179550	11495980822625	11495967943405
11495971951062	11495997557367	11495984243355
11495988413772	11496014180806	11496001023252
11496006022315	11496030859662	11496018030702
11496021987525	11496047539611	11496034267006
11496038442006	11496064252113	11496050823362
11496056650133	11496081082010	11496068401072
11496071898416	11496097619616	11496084400084
11496088707324	11496114255816	11496101458419
11496106595138	11496131116963	11496118433212
11497134275761	11497198243372	11497156524930
11497157152847	11497214904832	11497175939515
11497185794985	11497231590875	11497204365299
11497214405978	11497248262491	11497233155875
11497230482333	11497265125878	11497250421294
11497248259991	11497281628328	11497263188274
11497266066504	11497298305569	11497275440202
11497280628849	11497315261873	11497291392079
11497296927496	11497331670104	11497307122914
11497314616508	11497348358283	11497324767239
11497330377812	11497364994378	11497340577084
11497348044793	11497381665109	11497358261252
11497364725836	11497398366100	11497375266827
11497380983546	11497415270060	11497391790110
11497397232402	11497431953551	11497407398913
11497414843550	11497448364699	11497425007353
11497431043603	11497465247096	11497441299438
11497448159334	11497481737098	11497458490950
11497464993190	11497498407412	11497475280014
11497480936837	11497515491424	11497491797099
11497498278714	11497531762207	11497509095486
11497514535539	11497548439448	11497524862206
11497531220384	11497565454763	11497541455333
11497548230125	11497581790389	11497558994449
11497564650440	11497598465807	11497575066378
11497581942160	11497615145809	11497592846328
11497598515182	11497632049509	11497608843256
11497614942372	11497648770760	11497625295602
11497631515915	11497665451491	11497641905916
11497648402062	11497681868212	11497658710032
11497664506022	11497698541963	11497675275763
11497681602482	11497715586861	11497692486181
11497698576234	11497732268581	11497708884464
11497714956288	11497748564625	11497725319570
11497731720092	11497765257282	11497741913530
11497748145666	11497781914888	11497758261917
11497764708949	11497798611088	11497775365513
11497781771867	11497815581610	11497792689421
11497798314473	11497832251977	11497808516766
11497814669839	11497848640103	11497825749320
11497831315935	11497865491824	11497844503228
11497848365832	11497882002034	11497861431823
11497865244584	11497898675108	11497878011356
11497881112606	11497915600631	11497893993858
11497898413546	11497932050528	11497911220266
11497914835370	11497948695634	11497927849903
11497930949122	11497965380844	11497943830061
11497948947769	11497982423762	11497961822042
11497964324802	11497999117566	11497977198814
11497981509856	11498015430849	11497994284545
11497998211212	11498032435799	11498011160953
11498014843089	11498049133509	11498027712986
11498031477621	11498065646479	11498044381737
11498048331477	11498082126793	11498061397624
11498065146896	11498098834034	11498077950282
11498081545387	11498115844557	11498094379711
11498097990336	11498132372788	11498110842525
11498114977734	11498149131852	11498127785235
11498131814350	11498165837374	11498144474404
11498148366123	11498182225345	11498161115499
11498164969093	11498198890346	11498177733938
11498181610136	11498215603109	11498194472950
11498197758940	11498232338058	11498210599723
11498217737484	11498248926549	11498230638475
11498232976808	11498265709051	11498245270820
11498244219778	11498282392959	11498259141134
11498265958686	9223372036854775807	11498278058792

